Ingredient,Count
onion,5160
egg,4789
flour,4327
cheese,3930
milk,2961
chicken,2154
corn,1539
beef,1405
tomatoes,1282
potato,1198
bell pepper,1156
apple,1078
carrot,1067
pea,1049
bread,1005
rice,1000
mushroom,902
bean,811
chocolate,757
lime,741
basil,720
pork,655
cilantro,647
bacon,643
orange,596
red pepper,592
oat,562
tortilla,498
coconut,447
sausage,446
pecan,436
spinach,419
peanut,410
jalapeno,361
strawberries,359
shrimp,352
cherries,346
pineapple,328
pumpkin,325
avocado,310
wheat,300
cranberries,297
cabbage,295
zucchini,286
turkey,282
banana,272
cucumber,266
broccoli,238
lettuce,231
squash,189
grape,161
tuna,154
sweet potato,151
peach,136
plum,132
lamb,126
pear,125
salmon,121
fish,118
green beans,113
radish,108
rhubarb,101
cauliflower,95
asparagus,85
mango,80
apricot,66
eggplant,59
blackberries,58
flax seed,56
leek,55
goat,52
beet,51
brisket,51
okra,45
kale,41
pomegranate,34
anchovy,30
bok choy,26
lobster,25
kiwi,25
barley,23
turnip,17
parsnip,16
eel ,15
duck,14
brussels sprouts,13
grapefruit,13
cantaloupe,9
lemongrass,7
sardine,5
catfish,5
endive,4
honeydew melon,4
amaranth,2
